UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
16,797722,0.17178170327531647,1,0.06267847696315257,0.2075289006818044,0.278075506720328,,,,,,,2017,Amapá,Estado,obitoflu,incidência
17,1550194,0.06902698920665568,1,0.03225402756042147,0.07059707913201455,0.12901611024168588,,,,,,,2017,Tocantins,Estado,obitoflu,incidência
21,7000229,0.018723891264826764,1,0.007142623477031966,0.024353691382070303,0.02960769977244247,,,,,,,2017,Maranhão,Estado,obitoflu,incidência
22,3218485,0.031378400968443486,1,0.015535259601955578,0.04190304481863128,0.06214103840782231,,,,,,,2017,Piauí,Estado,obitoflu,incidência
23,9021232,0.02334084520161637,1,0.005542480228864528,0.027504351174408196,0.034586346558628245,,,,,,,2017,Ceará,Estado,obitoflu,incidência
24,3507003,0.03323937119722799,1,0.014257187689887919,0.0419591115564768,0.057028750759551675,,,,,,,2017,Rio Grande do Norte,Estado,obitoflu,incidência
25,4025558,0.03994586976544204,1,0.012420638331381635,0.08699242182622391,0.11639794759122513,,,,,,,2017,Paraíba,Estado,obitoflu,incidência
26,9473707,0.013083059276810735,1,0.005277765081820664,0.023030294676876558,0.028785048963072768,,,,,,,2017,Pernambuco,Estado,obitoflu,incidência
27,3375382,0.03777109143981357,1,0.014813138187025943,0.06243993493673439,0.07904429883085863,,,,,,,2017,Alagoas,Estado,obitoflu,incidência
28,2288116,,1,0.021852038970052216,0.04370407794010443,0.08740815588020888,,,,,,,2017,Sergipe,Estado,obitoflu,incidência
29,15344447,0.009389395335424185,1,0.0032585077846076825,0.019764352838606447,0.025135837359239632,,,,,,,2017,Bahia,Estado,obitoflu,incidência
31,21119536,0.007632372707234368,0,0.004834648651941749,0.011267502705123,0.01420657834239214,8.0,2.0,17.0,6.0,1.0,13.0,2017,Minas Gerais,Estado,obitoflu,incidência
32,4016356,0.03099404915512125,1,0.012449095647895756,0.04009523997813025,0.050942429475432816,,,,,,,2017,Espírito Santo,Estado,obitoflu,incidência
33,16718956,0.010638893040156036,1,0.0029906173567296906,0.013971136247864724,0.018308008510627527,,,,,,,2017,Rio de Janeiro,Estado,obitoflu,incidência
35,45094866,0.0126729544172285,0,0.004270248264716498,0.01776102063851881,0.022632845124132883,17.0,17.0,49.0,8.0,3.0,11.0,2017,São Paulo,Estado,obitoflu,incidência
41,11320892,0.024009199825152285,0,0.010447553724004952,0.04884970256025079,0.06146528941028007,22.0,18.0,24.0,7.0,3.0,11.0,2017,Paraná,Estado,obitoflu,incidência
42,7001161,0.02377404606004295,1,0.00714167264543695,0.03264404592492553,0.041906027572087064,,,,,,,2017,Santa Catarina,Estado,obitoflu,incidência
43,11322895,0.08856555965041096,0,0.011645883303755598,0.13557828463348365,0.17476889203169302,23.0,13.0,28.0,11.0,8.0,12.0,2017,Rio Grande do Sul,Estado,obitoflu,incidência
50,2713147,0.10112673822461006,1,0.01842878399143135,0.0975772385070588,0.12629065864824818,,,,,,,2017,Mato Grosso do Sul,Estado,obitoflu,incidência
51,3344544,0.05694032850274368,1,0.014949721098003197,0.06900500474067472,0.08432842937638196,,,,,,,2017,Mato Grosso,Estado,obitoflu,incidência
52,6778772,0.0346361850295448,1,0.007375967210580324,0.03653295268920731,0.044954638299335985,,,,,,,2017,Goiás,Estado,obitoflu,incidência
53,3039444,0.054225924972000086,1,0.01645037710844484,0.07691362730743068,0.0975384044066645,,,,,,,2017,Distrito Federal,Estado,obitoflu,incidência
BR,207660929,0.01242062850699714,0,0.004040114263735468,0.023988863598135023,0.04637908705659015,16.0,5.0,21.0,12.0,11.0,15.0,2017,Brasil,País,obitoflu,incidência
RegC,27644815,0.014277451374481066,1,0.0018086574281651008,0.015926493010533168,0.019698110645407274,,,,,,,2017,Regional Centro,Regional,obitoflu,incidência
RegL,67770757,0.0039855190112031355,0,0.001855410473054989,0.005273474577339066,0.0066818772423145045,16.0,8.0,30.0,8.0,3.0,17.0,2017,Regional Leste,Regional,obitoflu,incidência
